model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp
Logistic Regression,0.8562266666666667,0.5474797709299716,0.36102418207681364,0.12941056496022843,0.9655489768997148,0.19052623676901134,0.6698499890106617,62948,2246,8537,1269
Decision Tree,0.81384,0.5442387420726333,0.2290743155149935,0.1791760146848868,0.9093014694603798,0.2010757610437171,0.6047418759721022,59281,5913,8049,1757
Random Forest,0.84776,0.5598076406869142,0.33697411003236244,0.169895982051805,0.9497192993220235,0.22589830508474576,0.6776014823477541,61916,3278,8140,1666
